Species
Amblyomma cajennense
Mergus merganser
Aphelocoma coerulescens
Melanerpes formicivorus
Selasphorus platycercus
Nauphoeta cinerea
Periplaneta americana
Callosobruchus maculatus
Chrysomya megacephala
Cochliomyia hominivorax
Lucilia cuprina
Anopheles quadrimaculatus
Drosophila melanogaster
Musca domestica
Episyrphus balteatus
Bombyx mori
Aepyceros melampus
Ovis aries
Tursiops truncatus
Lycaon pictus
Nyctereutes procyonoides viverrinus
Panthera leo
Panthera leo persica
Zalophus californianus
Plecotus sp.
Sminthopsis crassicaudata
Ateles belzebuth
Homo sapiens
Pan troglodytes
Pongo pygmaeus
Hylobates lar
Symphalangus syndactylus
Orycteropus afer
Drosophila mojavensis
Drosophila mulleri
Drosophila montana
Drosophila virilis
Drosophila kikkawai
Drosophila erecta
Drosophila yakuba
Drosophila sechellia
Drosophila simulans
Drosophila bipectinata
Drosophila ananassae
